College,Department,Prefix,Number,Title,Credits,Dept.,is_checked
College of Engineering,Department of Computer Science and Engineering,COP,1930,Special Topics for Information Technology,3-Jan,0,
College of Engineering,Department of Computer Science and Engineering,COP,2030,Programming Concepts I,3,0,
College of Engineering,Department of Computer Science and Engineering,CGS,2034,Computers and Impact on Society,3,0,
College of Engineering,Department of Computer Science and Engineering,CGS,2060,Introduction to Computers and Computer Programming,3,0,
College of Engineering,Department of Computer Science and Engineering,CGS,2062,Computers And Society,3,0,
College of Engineering,Department of Computer Science and Engineering,CGS,2094,CyberEthics,3,0,
College of Engineering,Department of Computer Science and Engineering,COP,2250,Object-Oriented Programming (Java SE),3,0,
College of Engineering,Department of Computer Science and Engineering,COP,2270,Programming in C for Engineers,3,0,
College of Engineering,Department of Computer Science and Engineering,COP,2510,Programming Concepts,3,1,1
College of Engineering,Department of Computer Science and Engineering,COP,2512,Programming Fundamentals for Information Technolog,3,0,
College of Engineering,Department of Computer Science and Engineering,COP,2513,Object Oriented Programming for Information Techno,3,0,
College of Engineering,Department of Computer Science and Engineering,COP,2700,Database Systems Basics,3,0,
College of Engineering,Department of Computer Science and Engineering,COP,2930,Special Topics for Information Technology,3-Jan,0,
College of Engineering,Department of Computer Science and Engineering,COP,2931,Special Topics for Information Technology,3-Jan,0,
College of Engineering,Department of Computer Science and Engineering,CGS,2935,Special Topics in General Computer Studies,3-Jan,0,
College of Engineering,Department of Computer Science and Engineering,CEN,3040,Integrated Development Environments (Eclipse),3,0,
College of Engineering,Department of Computer Science and Engineering,COT,3100,Introduction to Discrete Structures,3,1,1
College of Engineering,Department of Computer Science and Engineering,CDA,3101,Computer Organization for Information Technology,3,0,
College of Engineering,Department of Computer Science and Engineering,CDA,3103,Computer Organization,3,1,1
College of Engineering,Department of Computer Science and Engineering,CTS,3165,Linux Essentials,3,0,
College of Engineering,Department of Computer Science and Engineering,CDA,3201,Computer Logic and Design,3,1,1
College of Engineering,Department of Computer Science and Engineering,CIS,3201,Laws and Legal Aspects of IT,3,0,
College of Engineering,Department of Computer Science and Engineering,CDA,3201L,Computer Logic and Design Lab,1,1,1
College of Engineering,Department of Computer Science and Engineering,CIS,3213,Foundations of Cybersecurity,3,0,
College of Engineering,Department of Computer Science and Engineering,EIN,3241,Ergonomics I,3,0,
College of Engineering,Department of Computer Science and Engineering,COP,3257,JAVA for Experienced Programmers,3,0,
College of Engineering,Department of Computer Science and Engineering,COP,3259,Advanced Programming in JAVA,3,0,
College of Engineering,Department of Computer Science and Engineering,CGS,3303,IT Concepts,3,0,
College of Engineering,Department of Computer Science and Engineering,CIS,3303,Unified Modeling Language,3,0,
College of Engineering,Department of Computer Science and Engineering,COP,3331,Object Oriented Software Design,3,0,
College of Engineering,Department of Computer Science and Engineering,CGS,3343,Health Information Systems for Information Technol,3,0,
College of Engineering,Department of Computer Science and Engineering,COP,3353,User-Level Introduction to Linux for IT,3,0,
College of Engineering,Department of Computer Science and Engineering,CIS,3363,Information Technology Systems Security,3,0,
College of Engineering,Department of Computer Science and Engineering,CGS,3373C,Data Networking & Communications,3,0,
College of Engineering,Department of Computer Science and Engineering,CGS,3374C,Architecture & Operating Systems,3,0,
College of Engineering,Department of Computer Science and Engineering,COP,3375,Data Structures and Algorithms w/ Python,3,0,
College of Engineering,Department of Computer Science and Engineering,COP,3415,Data Structures and Algorithms,3,0,
College of Engineering,Department of Computer Science and Engineering,CIS,3433,System Integration and Architecture for IT,3,0,
College of Engineering,Department of Computer Science and Engineering,COP,3514,Program Design,3,1,1
College of Engineering,Department of Computer Science and Engineering,COP,3515,Advanced Program Design for Information Technology,3,0,
College of Engineering,Department of Computer Science and Engineering,ETG,3612,Operations Management,3,0,
College of Engineering,Department of Computer Science and Engineering,CIS,3615,Secure Software Development,3,0,
College of Engineering,Department of Computer Science and Engineering,COP,3718,Database Systems Design,3,0,
College of Engineering,Department of Computer Science and Engineering,CEN,3722,Human Computer Interfaces for Information Technolo,3,0,
College of Engineering,Department of Computer Science and Engineering,COP,3722,Advanced Database Systems Design,3,0,
College of Engineering,Department of Computer Science and Engineering,CGS,3845,Electronic Commerce,3,0,
College of Engineering,Department of Computer Science and Engineering,CGS,3847,Portal Development and E-Commerce,3,0,
College of Engineering,Department of Computer Science and Engineering,CGS,3850,Web Development: JavaScript & jQuery,3,0,
College of Engineering,Department of Computer Science and Engineering,CGS,3853,Web Systems for IT,3,0,
College of Engineering,Department of Computer Science and Engineering,COP,3931,Special Topics for Information Technology,3-Jan,0,
College of Engineering,Department of Computer Science and Engineering,ETG,3931,Special Topics in Information Technology,3-Jan,0,
College of Engineering,Department of Computer Science and Engineering,CIS,3932,Special Topics for Information Technology,3-Jan,0,
College of Engineering,Department of Computer Science and Engineering,ETG,3933,Selected Topics in Technology,3-Jan,0,
College of Engineering,Department of Computer Science and Engineering,ETG,3934,Selected Topics in Technology II,3-Jan,0,
College of Engineering,Department of Computer Science and Engineering,CNT,4004,Computer Networks I,3,0,
College of Engineering,Department of Computer Science and Engineering,CEN,4020,Software Engineering,3,1,
College of Engineering,Department of Computer Science and Engineering,COP,4020,Programming Languages,3,0,
College of Engineering,Department of Computer Science and Engineering,CEN,4031,Software Engineering Concepts for Information Tech,3,0,
College of Engineering,Department of Computer Science and Engineering,CAP,4034,Computer Animation Fundamentals,3,0,
College of Engineering,Department of Computer Science and Engineering,CAP,4063,Web Application Design,3,0,
College of Engineering,Department of Computer Science and Engineering,CEN,4072,Software Testing,3,0,
College of Engineering,Department of Computer Science and Engineering,CIS,4083,Cloud Computing for IT,3,0,
College of Engineering,Department of Computer Science and Engineering,CAP,4103,Mobile Biometrics,3,0,
College of Engineering,Department of Computer Science and Engineering,CNT,4104,Computer Information Networks for Information Tech,3,0,
College of Engineering,Department of Computer Science and Engineering,CNT,4104L,Computer Information Networks Laboratory for Infor,1,0,
College of Engineering,Department of Computer Science and Engineering,CAP,4111,Introduction to Augmented and Virtual Reality,3,0,
College of Engineering,Department of Computer Science and Engineering,COT,4115,Advanced Discrete Structures with Cryptology,3,0,
College of Engineering,Department of Computer Science and Engineering,ETI,4116,Industrial Quality Control,3,0,
College of Engineering,Department of Computer Science and Engineering,CAP,4136,Malware Analysis and Reverse Engineering,3,0,
College of Engineering,Department of Computer Science and Engineering,CIS,4200,Penetration Testing for IT,3,0,
College of Engineering,Department of Computer Science and Engineering,CDA,4203,Computer System Design,3,0,
